CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
23540,"Gainesville, FL (Metropolitan Statistical Area)",11945352
23580,"Gainesville, GA (Metropolitan Statistical Area)",6952061
23900,"Gettysburg, PA (Metropolitan Statistical Area)",3243720
24020,"Glens Falls, NY (Metropolitan Statistical Area)",5517162
24140,"Goldsboro, NC (Metropolitan Statistical Area)",4573633
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",4359965
24260,"Grand Island, NE (Metropolitan Statistical Area)",3546387
24300,"Grand Junction, CO (Metropolitan Statistical Area)",5694754
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",44566051
24420,"Grants Pass, OR (Metropolitan Statistical Area)",2027666
24500,"Great Falls, MT (Metropolitan Statistical Area)",3254685
24540,"Greeley, CO (Metropolitan Statistical Area) *",10754532
24580,"Green Bay, WI (Metropolitan Statistical Area)",16028656
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",37461055
24780,"Greenville, NC (Metropolitan Statistical Area)",7416352
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",32219112
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",17552843
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",8937677
25220,"Hammond, LA (Metropolitan Statistical Area)",3818805
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",4926324
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",31361128
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",7408680
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",86187456
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",5567881
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",13055919
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",7032031
25980,"Hinesville, GA (Metropolitan Statistical Area)",3706520
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",3828334
26300,"Hot Springs, AR (Metropolitan Statistical Area)",2804029
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",10976570
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",383629600
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",13856510
26620,"Huntsville, AL (Metropolitan Statistical Area)",22638644
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",5447110
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",115315550
26980,"Iowa City, IA (Metropolitan Statistical Area)",8091616
27060,"Ithaca, NY (Metropolitan Statistical Area)",5581451
27100,"Jackson, MI (Metropolitan Statistical Area)",4808849
27140,"Jackson, MS (Metropolitan Statistical Area)",23609382
27180,"Jackson, TN (Metropolitan Statistical Area)",7514418
27260,"Jacksonville, FL (Metropolitan Statistical Area)",60793957
27340,"Jacksonville, NC (Metropolitan Statistical Area)",8429884
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",5856452
27620,"Jefferson City, MO (Metropolitan Statistical Area)",6625791
27740,"Johnson City, TN (Metropolitan Statistical Area)",6204657
27780,"Johnstown, PA (Metropolitan Statistical Area)",4723667
27860,"Jonesboro, AR (Metropolitan Statistical Area)",4233356
27900,"Joplin, MO (Metropolitan Statistical Area)",6573216
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",7242277
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",10952230
28100,"Kankakee, IL (Metropolitan Statistical Area)",4120493
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",106378083
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",12904470
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",16309767
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",11616664
28740,"Kingston, NY (Metropolitan Statistical Area)",6455261
28940,"Knoxville, TN (Metropolitan Statistical Area)",33631859
29020,"Kokomo, IN (Metropolitan Statistical Area)",4105992
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",6206784
29180,"Lafayette, LA (Metropolitan Statistical Area)",22470981
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",8269632
29340,"Lake Charles, LA (Metropolitan Statistical Area)",11247652
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",4628097
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",19842552
29540,"Lancaster, PA (Metropolitan Statistical Area)",23475683
