,Memberships,continent,Year,City,Country,Latitude,Longitude,Population,NO2,Pw_NO2,PAF_NO2,Cases_NO2,Rates_NO2,Pop_ped,city_area,NAME_LIST,Slope,Base_GDP,GDP,Base_NO2,Base_Population,NO2T,BaseT,LogGDP,State,Region,Predicted,Actual,pc_dif,abs_dif,Residuals,PerCapita,ConcPercChange,ConcChange_Score,slope_Score,resid_Score,Total_Score,GDPBins,PopChange,PopChangeBins,Base_PerCapita,Base_Pop_ped,location_name_x,asthma_2010,location_name_y,asthma_2019,ActualAF,PredictedAF,BaseAF,Actual_Cases,Predicted_Cases,Base_Cases,Cases_Residual,Rates_Residual
27,0,North America,2019,Grand Junction,United States,39.0856,-108.528,100733,11.68,11.54,18.8166,130,129.05,22209,72899348.76,Grand Junction,0.018,5694754,6066610,12.69,82132,2.457877977400081,3.562302626111375,15.555055958144678,CO,SW,10.021595837423432,11.68,14.198665775484317,14.198665775484317,1.6584041625765682,39.339926074833016,-7.959022853,0.4847389018322706,0.810888687,0.6240190007845404,0.639882196,"(11.959, 42.965]",18601,"(12925.5, 28675.0]",38.92172260838066,19825,CO,2670.4577460626933,CO,2702.75460329621,0.23657354881137616,0.20674522268493534,0.25418729344740465,142.00440109343714,124.0998060595173,134.57139160067618,17.904595033919833,80.61864574685862
28,1,North America,2019,Tallahassee,United States,30.4409,-84.2972,92001,9.76,10.18,16.3265,90,99.29,19858,36879456.13,Tallahassee,0.0123030303030302,14714381,15725332,10.38,81149,2.278292400425001,3.2218007387174024,16.504335872845786,FL,SE,8.289854628355434,9.76,15.06296487340744,15.06296487340744,1.4701453716445665,40.69134231,-5.973025048,0.5099569950373282,0.8061368921241532,0.5974135502991432,0.6378358124868749,"(11.959, 42.965]",10852,"(4574.0, 12925.5]",39.97202248198263,18958,FL,2621.526042376902,FL,2822.016027539578,0.20193484712652865,0.17435324718953737,0.2132887254957716,113.16346902930773,97.70685233009699,106.00213058384159,15.456616699210741,77.83571708737406
29,0,North America,2019,Daytona Beach,United States,29.2025,-81.0345,200880,8.16,8.02,12.5248,130,65.06,35516,191906488.8,Daytona Beach,-0.005212121,16179129,19358796,8.28,182092,2.0992441689760155,2.8774989139876315,16.599232636254406,FL,SE,7.1748029408183305,8.159999999999998,12.073493372324364,12.073493372324364,0.985197059181668,28.96440717272748,-1.449275362,0.5673993250123912,0.7915276514002628,0.5288788048493606,0.6292685937540049,"(11.959, 42.965]",18788,"(12925.5, 28675.0]",32.716371401359275,35858,FL,2621.526042376902,FL,2822.016027539578,0.1718716829374879,0.15279967876510625,0.17416518306531426,172.26135253810475,153.14610808249668,163.71994114960714,19.115244455608064,53.82150145176277
30,1,North America,2019,Orlando,United States,28.5395,-81.3749,1531383,10.88,10.51,17.0499,1780,116.34,349453,980411892.5,Orlando; Kissimmee,-0.13,97770400,130108904,11.86,1230720,2.3869262414277967,3.443835071544513,18.398132430708014,FL,SE,8.566635954948643,10.880000000000004,21.262537178780875,21.262537178780875,2.313364045,49.88557163380745,-8.26306914,0.4808781384441188,0.6874431301182893,0.7165804298516094,0.6283005661380058,"(42.965, 52.756]",300663,"(28675.0, 1016891.0]",45.67013656141761,302272,FL,2621.526042376902,FL,2822.016027539578,0.22232731166542608,0.1796178394512854,0.23974281456801771,2192.507389612936,1771.3228183854067,1899.7554345523074,421.18457122752943,120.52681511606121
31,0,North America,2019,Binghamton,United States,42.1071,-75.9259,62275,9.31,9.46,15.1357,50,87.05,12471,27979794.92,Binghamton,-0.037636364,10397721,10265600,9.51,62242,2.231089091288976,3.083828789021855,16.157097205482717,NY,NE,8.117320489,9.31,12.810735883648231,12.810735883648231,1.1926795107676504,43.00790561856124,-2.103049422,0.5590977372027576,0.7644828632089777,0.5582010163908845,0.6272605389342066,"(42.965, 52.756]",33,"(-137344.0, 4574.0]",41.37227290994386,13646,NY,3085.157958785269,NY,3357.9629331746173,0.19359163803368173,0.17105443610224436,0.19731044529983577,81.07067175824758,71.63273260606677,83.0678267205899,9.437939152180817,75.67908870323805
32,0,North America,2019,Sioux City,United States,42.4865,-96.3878,85592,11.83,12.32,20.2221,140,161.82,21776,70958648.82,Sioux City,-0.050242424,7839424,7629171,12.23,86211,2.470638677990296,3.4971416900091423,15.874675920239827,IA,MW,10.47709455341839,11.830000000000002,11.436225245829352,11.436225245829352,1.3529054465816124,52.73498997718946,-3.270645953,0.5442716593107176,0.7539682539682538,0.5808447568540565,0.6263615567110093,"(42.965, 52.756]",-619,"(-137344.0, 4574.0]",54.48509195,23749,IA,1857.2756649046107,IA,2153.695926749798,0.2392155187532763,0.21505210193461155,0.246216158727684,112.18940506402608,100.85703260203694,108.60210606611527,11.332372461989138,52.040652378715734
33,0,North America,2019,Beaumont,United States,30.077,-94.1275,99134,10.54,10.72,17.3352,120,120.6,22384,103651040.7,Beaumont,-0.06369697,26978497,25666421,10.69,99050,2.355177543113216,3.269556544854363,17.110550699260337,TX,SGP,9.327424781848674,10.539999999999996,11.504508711113132,11.504508711113132,1.212575218151324,65.38166103275142,-1.403180543,0.5679846345521362,0.7427459306440197,0.5610127536545083,0.6239144396168882,"(64.503, 393.912]",84,"(-137344.0, 4574.0]",69.34134135935106,24274,TX,2776.859302081202,TX,2862.518949212457,0.21619244466363208,0.1939163190523181,0.2189049469593134,138.5244963787474,124.25115261607297,147.55393614930017,14.273343762674415,63.76583167742322
34,0,North America,2019,Naples,United States,26.1599,-81.7843,87332,7.98,7.86,12.2122,60,64.78,15130,66726105.16,Naples,-0.019333333,13491131,17848807,8.04,69926,2.0769384114617173,2.835489375751565,16.417543064550966,FL,SE,7.0916088827176695,7.979999999999999,11.13272077,11.13272077,0.888391117,46.37234153109103,-0.746268657,0.5763260663137951,0.7797492670104135,0.5151978198544801,0.6237577177262296,"(42.965, 52.756]",17406,"(12925.5, 28675.0]",41.83659666575703,13737,FL,2621.526042376902,FL,2822.016027539578,0.16841948443458232,0.15116918939798218,0.16957181332422877,71.91023989340322,64.54486374064741,61.06603734364055,7.3653761527558,48.68060907307205
35,0,North America,2019,Palm Coast,United States,29.5441,-81.208,129145,5.93,6.13,8.7199,60,46.17,22968,100516252.5,Palm Coast,0.009090909,16179129,19358796,5.67,71771,1.780024213009634,2.3811761799581315,16.599232636254406,FL,SE,5.8506682556088965,5.93,1.3378034467302402,1.3378034467302402,0.079331744,28.96440717272748,4.585537918871249,0.6440290591730297,0.8034576888080072,0.4008584629583714,0.6161150703131361,"(11.959, 42.965]",57374,"(28675.0, 1016891.0]",32.716371401359275,14442,FL,2621.526042376902,FL,2822.016027539578,0.12807271780728058,0.12647261667869547,0.12281761693581794,83.01169489487117,81.97457232137414,46.49884692555723,1.0371225734970295,4.51551103055133
36,0,North America,2019,Panama City,United States,30.1898,-85.7691,71946,7.44,7.15,10.329,30,40.48,14705,108636992.3,Panama City,-0.003636364,7184672,7712710,7.43,63979,2.0068708488450007,2.725802634087802,15.78746042579214,FL,SE,6.912030355211549,7.440000000000001,7.0963661933931785,7.0963661933931785,0.5279696447884525,44.14704788,0.1345895020188516,0.5875111557924544,0.7928419775553533,0.4642616824617068,0.6148716052698382,"(42.965, 52.756]",7967,"(4574.0, 12925.5]",42.44453896686989,14300,FL,2621.526042376902,FL,2822.016027539578,0.1579763021296724,0.1476389915637577,0.15778167809468413,65.5566041002905,61.26685325098174,59.14891527332553,4.28975084930876,29.17205609866549
